tid,did,name,Comments,Year,License,Potential issue,Domain,Required split,Relevant task,Reference,Original Source ,"Include 
(Andrej)",Explanation (Andrej),"Include 
(Lennart)",Explanation (Lennart),Final Decision ,Benchmark,task_type,status,estimation_procedure,evaluation_measures,target_feature,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,number_samples,cost_matrix,source_data_labeled,target_feature_event,target_feature_left,target_feature_right,quality_measure,target_value
9904,1549,autoUniv-au6-750,Generated using some tool that is likely outdated; model-based tabular data geneartion (almost a prior as in TabPFNv1/TabPFNMiX/TabForestPFN),2010,,Artificial,Artificial,Random,No,https://archive.ics.uci.edu/dataset/197/autouniv,https://archive.ics.uci.edu/dataset/197/autouniv,No,Artificial,No,not a real distribution,No,Artificial/Simulated,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,165.0,8.0,57.0,8.0,41.0,750.0,0.0,0.0,37.0,4.0,,,,,,,,
9905,1553,autoUniv-au7-700,Generated using some tool that is likely outdated,2010,,Artificial,Artificial,Random,No,https://archive.ics.uci.edu/dataset/197/autouniv,https://archive.ics.uci.edu/dataset/197/autouniv,No,Artificial,No,not a real distribution,No,Alternative version,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,245.0,3.0,214.0,3.0,13.0,700.0,0.0,0.0,8.0,5.0,,,,,,,,
9906,1552,autoUniv-au7-1100,Generated using some tool that is likely outdated,2010,,Artificial,Artificial,Random,No,https://archive.ics.uci.edu/dataset/197/autouniv,https://archive.ics.uci.edu/dataset/197/autouniv,No,Artificial,No,not a real distribution,No,Alternative version,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,305.0,5.0,153.0,5.0,13.0,1100.0,0.0,0.0,8.0,5.0,,,,,,,,
9909,1547,autoUniv-au1-1000,Generated using some tool that is likely outdated,2010,,Artificial,Artificial,Random,No,https://archive.ics.uci.edu/dataset/197/autouniv,https://archive.ics.uci.edu/dataset/197/autouniv,No,Artificial,No,not a real distribution,No,Alternative version,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,741.0,2.0,259.0,2.0,21.0,1000.0,0.0,0.0,20.0,1.0,,,,,,,,
9915,1542,volcanoes-e1,"Volcano files might be concatenable. Unclear what the exact features are.; minor temporal dependencies due to the collection time frame, spatial impact, and noisy ground truth as no one has been to Venus. ",1994,,Image domain,Image,,No,https://doi.org/10.24432/C5SW34,https://doi.org/10.24432/C5SW34,No,Image,No,Image,No,Image,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,1083.0,5.0,9.0,5.0,4.0,1183.0,0.0,0.0,3.0,1.0,,,,,,,,
9920,1538,volcanoes-d1,Volcano files might be concatenable. Unclear what the exact features are.,1994,,Image domain,Image,,No,https://doi.org/10.24432/C5SW34,https://doi.org/10.24432/C5SW34,No,Image,No,Image,No,Alternative version,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,8265.0,5.0,56.0,5.0,4.0,8753.0,0.0,0.0,3.0,1.0,,,,,,,,
9923,1541,volcanoes-d4,Volcano files might be concatenable. Unclear what the exact features are.,1994,,Image domain,Image,,No,https://doi.org/10.24432/C5SW34,https://doi.org/10.24432/C5SW34,No,Image,No,Image,No,Alternative version,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,8163.0,5.0,56.0,5.0,4.0,8654.0,0.0,0.0,3.0,1.0,,,,,,,,
9924,1528,volcanoes-a2,Volcano files might be concatenable. Unclear what the exact features are.,1994,,Image domain,Image,,No,https://doi.org/10.24432/C5SW34,https://doi.org/10.24432/C5SW34,No,Image,No,Image,No,Alternative version,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,1471.0,5.0,29.0,5.0,4.0,1623.0,0.0,0.0,3.0,1.0,,,,,,,,
9925,1529,volcanoes-a3,Volcano files might be concatenable. Unclear what the exact features are.,1994,,Image domain,Image,,No,https://doi.org/10.24432/C5SW34,https://doi.org/10.24432/C5SW34,No,Image,No,Image,No,Alternative version,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,1369.0,5.0,29.0,5.0,4.0,1521.0,0.0,0.0,3.0,1.0,,,,,,,,
9926,1530,volcanoes-a4,Volcano files might be concatenable. Unclear what the exact features are.,1994,,Image domain,Image,,No,https://doi.org/10.24432/C5SW34,https://doi.org/10.24432/C5SW34,No,Image,No,Image,No,Alternative version,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,1365.0,5.0,29.0,5.0,4.0,1515.0,0.0,0.0,3.0,1.0,,,,,,,,
9927,1531,volcanoes-b1,Volcano files might be concatenable. Unclear what the exact features are.,1994,,Image domain,Image,,No,https://doi.org/10.24432/C5SW34,https://doi.org/10.24432/C5SW34,No,Image,No,Image,No,Alternative version,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,9791.0,5.0,26.0,5.0,4.0,10176.0,0.0,0.0,3.0,1.0,,,,,,,,
9928,1532,volcanoes-b2,Volcano files might be concatenable. Unclear what the exact features are.,1994,,Image domain,Image,,No,https://doi.org/10.24432/C5SW34,https://doi.org/10.24432/C5SW34,No,Image,No,Image,No,Alternative version,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,10285.0,5.0,26.0,5.0,4.0,10668.0,0.0,0.0,3.0,1.0,,,,,,,,
9931,1535,volcanoes-b5,Volcano files might be concatenable. Unclear what the exact features are.,1994,,Image domain,Image,,No,https://doi.org/10.24432/C5SW34,https://doi.org/10.24432/C5SW34,No,Image,No,Image,No,Alternative version,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,9599.0,5.0,26.0,5.0,4.0,9989.0,0.0,0.0,3.0,1.0,,,,,,,,
9932,1536,volcanoes-b6,Volcano files might be concatenable. Unclear what the exact features are.,1994,,Image domain,Image,,No,https://doi.org/10.24432/C5SW34,https://doi.org/10.24432/C5SW34,No,Image,No,Image,No,Alternative version,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,9746.0,5.0,26.0,5.0,4.0,10130.0,0.0,0.0,3.0,1.0,,,,,,,,
9943,1507,twonorm,"Each class is drawn from a multivariate normal distribution with unit variance. Class 1 has mean (a,a,..a) while Class 2 has mean (-a,-a,..-a). Where a = 2/sqrt(20). Breiman reports the theoretical expected misclassification rate as 2.3%.",1996,,Artificial,Artificial,Random,No,"(1) Breiman L. Bias, variance and arcing classifiers. Tec. Report 460, Statistics department. University of california. April 1996.",http://www.cs.toronto.edu/~delve/data/twonorm/desc.html,No,Artificial,No,not a real distribution,No,Deterministic,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,3703.0,2.0,3697.0,2.0,21.0,7400.0,0.0,0.0,20.0,1.0,,,,,,,,
9945,1509,walking-activity,"Task is to identify a walking Smartphone user from accelerometer data. Human Activity tasks are solved differently nowadays. In general, this is a time-series task; grouped data",2012,,Outdated,time-series,"temporal, grouped",No,"Casale, P. Pujol, O. and Radeva, P. 'Personalization and user verification in wearable systems using biometric walking patterns' Personal and Ubiquitous Computing, 16(5), 563-580, 2012",https://archive.ics.uci.edu/dataset/286/user+identification+from+walking+activity and 10.24432/C5WC8S,No,time-series,No,not iid,No,Time-series,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,21991.0,22.0,911.0,22.0,5.0,149332.0,0.0,0.0,4.0,1.0,,,,,,,,
9946,1510,wdbc,"Similar to breast-w. Random thought: If we would have the original image and some patient data, this could also be a nice application for multiomdal tabular ML; features extracted from images; some kind of grouping ",1995,,Image domain,Image,"random, grouped",No,https://archive.ics.uci.edu/dataset/15/breast+cancer+wisconsin+original,https://archive.ics.uci.edu/dataset/15/breast+cancer+wisconsin+original,No,Image,No,Image,No,Image,Supervised Classification,active,10-fold Crossvalidation,,Class,357.0,2.0,212.0,2.0,31.0,569.0,0.0,0.0,30.0,1.0,,,,,,,,
9954,1491,one-hundred-plants-margin,Histogram data extracted from images,2010 / 2012,,"Image domain, preprocssed ",Image,random,No,"Charles Mallah, James Cope, James Orwell. Plant Leaf Classification Using Probabilistic Integration of Shape, Texture and Margin Features. Signal Processing, Pattern Recognition and Applications, in press. 2013.",https://doi.org/10.24432/C5RG76,No,Image,No,Image,No,Image,Supervised Classification,active,10-fold Crossvalidation,,Class,16.0,100.0,16.0,100.0,65.0,1600.0,0.0,0.0,64.0,1.0,,,,,,,,
9959,1496,ringnorm,"Class 1 has mean zero and covariance 4 times the identity. Class 2 has mean (a,a,..a) and unit covariance. a = 2/sqrt(20). Breiman reports the theoretical expected misclassification rate as 1.3%.",1996,,Artificial,Artificial,random,No, http://www.cs.toronto.edu/~delve/data/ringnorm/desc.html, http://www.cs.toronto.edu/~delve/data/ringnorm/desc.html,No,Artificial,No,not a real distribution,No,Deterministic,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,3736.0,2.0,3664.0,2.0,21.0,7400.0,0.0,0.0,20.0,1.0,,,,,,,,
9960,1497,wall-robot-navigation,"Solved differently nowadays, spatial, temporal problems. RL problem and not tabular",2009,,Outdated,Control,temporal,No,https://doi.org/10.24432/C57C8W,https://doi.org/10.24432/C57C8W,No,Control,No,not tabular predictive task,No,Robotics,Supervised Classification,active,10-fold Crossvalidation,,Class,2205.0,4.0,328.0,4.0,25.0,5456.0,0.0,0.0,24.0,1.0,,,,,,,,
9964,1501,semeion,Handwritten digits from 80 persons. Raw data 16*16. Side (func) fact: Best validation protocol is given in description :),1998 / 1994,,Image domain,Image,grouped,No,"Semeion Research Center of Sciences of Communication, via Sersale 117, 00128 Rome, Italy Tattile Via Gaetano Donizetti, 1-3-5,25030 Mairano (Brescia), Italy.",10.24432/C5SC8V,No,Image,No,Image,No,Image,Supervised Classification,active,10-fold Crossvalidation,,Class,162.0,10.0,155.0,10.0,257.0,1593.0,0.0,0.0,256.0,1.0,,,,,,,,
9965,1502,skin-segmentation,RBG images from different people (therefore group split required). Features are channels,2009,,Image domain,Image,grouped,No,"Rajen Bhatt, Abhinav Dhall, 'Skin Segmentation Dataset', UCI Machine Learning Repository",https://doi.org/10.24432/C5T30C,No,Image,No,Image,No,Image,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,194198.0,2.0,50859.0,2.0,4.0,245057.0,0.0,0.0,3.0,1.0,,,,,,,,
9966,1503,spoken-arabic-digit,time series of mel-frequency cepstrum coefficients (MFCCs) corresponding to spoken Arabic digits; likely also grouped data,2010,,Audio domain,Audio,grouped,No,10.24432/C52C9Q,10.24432/C52C9Q,No,Audio,No,Audio,No,Audio,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,26496.0,10.0,26124.0,10.0,15.0,263256.0,0.0,0.0,14.0,1.0,,,,,,,,
9970,1479,hill-valley,"Each record represents 100 points on a two-dimensional graph. When plotted in order (from 1 through 100) as the Y coordinate, the points will create either a Hill or a Valley, which is the target of this task. Custom split was given",2008,,Artificial,Artificial,random/custom,No,10.24432/C5JC8P,10.24432/C5JC8P,No,Artificial,No,no real distribution,No,Deterministic,Supervised Classification,active,10-fold Crossvalidation,,Class,606.0,2.0,606.0,2.0,101.0,1212.0,0.0,0.0,100.0,1.0,,,,,,,,
9971,1480,ilpd,Too small for 3CV - only 583 samples. There was a custom train/test split. Task might be rather a toy task and not of practical use. Unclear current SOTA for the domain but in itself fine and not too old,2012,,-,Tabular,random,Maybe,https://doi.org/10.24432/C5D02C,https://doi.org/10.24432/C5D02C,Yes,Passess all criteria,Yes,No objection,No,Tiny data,Supervised Classification,active,10-fold Crossvalidation,,Class,416.0,2.0,167.0,2.0,11.0,583.0,0.0,0.0,9.0,2.0,,,,,,,,
9972,1481,kr-vs-k,Chess endgame classification,1989,,Artificial,Artificial,random,No,KEEL ,https://sci2s.ugr.es/keel/dataset.php?cod=197,No,Artificial,No,no real distribution,No,Deterministic,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,4553.0,18.0,27.0,18.0,7.0,28056.0,0.0,0.0,3.0,4.0,,,,,,,,
9974,1483,ldpa,Depending on task either temporal or group split required. Activity recognition tasks are solved differently nowadays,2010,,time series data,time-series,temporal or grouped,No,10.24432/C57G8X,10.24432/C57G8X,No,time-series,No,non iid task,No,Time-series,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,54480.0,11.0,1381.0,11.0,8.0,164860.0,0.0,0.0,5.0,3.0,,,,,,,,
9976,1485,madelon,Data is clustered and includes uninformative features. Originally introduced for a feature selection challenge,2004,,Artificial,Artificial,random,No,"Isabelle Guyon, Steve R. Gunn, Asa Ben-Hur, Gideon Dror, 2004. Result analysis of the NIPS 2003 feature selection challenge.",10.24432/C5602H,No,Artificial,No,no real distribution,No,Artificial/Simulated,Supervised Classification,active,10-fold Crossvalidation,,Class,1300.0,2.0,1300.0,2.0,501.0,2600.0,0.0,0.0,500.0,1.0,,,,,,,,
9979,1466,cardiotocography,Features extracted from cardiotocograms. Might be done differently nowadays; outdated features,2000,,Outdated,"tabular, time-series, audio",random,Maybe,Ayres de Campos et al. (2000) SisPorto 2.0 A Program for Automated Analysis of Cardiotocograms. J Matern Fetal Med 5:311-318,https://archive.ics.uci.edu/dataset/193/cardiotocography,No,time-series,Unclear,Outdated solution but still a valid solution,No,Time-series,Supervised Classification,active,10-fold Crossvalidation,,Class,579.0,10.0,53.0,10.0,36.0,2126.0,0.0,0.0,35.0,1.0,,,,,,,,
9983,1471,eeg-eye-state,"Not a meaningful task anymore, also I believe there were leak issues pointe out somewhere; likely has groups, spatial, and temporal relations as it is EEG",2013,,"time series data, groups","EEG, time-series",temporal,No,10.24432/C57G7J,10.24432/C57G7J,No,time-series,No,non tabular IID task,No,Time-series,Supervised Classification,active,10-fold Crossvalidation,,Class,8257.0,2.0,6723.0,2.0,15.0,14980.0,0.0,0.0,14.0,1.0,,,,,,,,
10090,1457,amazon-commerce-reviews,"authorship identification task with 50 review authors, with 30 comments per author",2011,,Text domain,Text,"random, grouped (?)",No,10.24432/C55C88,10.24432/C55C88,No,Text,No,non tabular task,No,Text,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,30.0,50.0,30.0,50.0,10001.0,1500.0,0.0,0.0,10000.0,1.0,,,,,,,,
10093,1462,banknote-authentication,"wavelet transform features from images
Data were extracted from images that were taken for the evaluation of an authentication procedure for banknotes.",2012,,"Image domain, outdated",Image,random,No,10.24432/C55P57,10.24432/C55P57,No,Image,No,Image,No,Image,Supervised Classification,active,10-fold Crossvalidation,,Class,762.0,2.0,610.0,2.0,5.0,1372.0,0.0,0.0,4.0,1.0,,,,,,,,
14953,4552,BachChoralHarmony,"Multiclass - classify 101 possible chords, grouped likely",2010 / 2014,,Audio domain,Audio,"random, grouped",No,"D. P. Radicioni and R. Esposito. Advances in Music Information Retrieval, chapter BREVE: an HMPerceptron-Based Chord Recognition System. Studies in Computational Intelligence, Zbigniew W. Ras and Alicja Wieczorkowska (Editors), Springer, 2010.",https://archive.ics.uci.edu/dataset/298/bach+choral+harmony,No,Audio,No,Audio,No,Audio,Supervised Classification,active,10-fold Crossvalidation,,V17,503.0,102.0,1.0,102.0,17.0,5665.0,0.0,0.0,2.0,15.0,,,,,,,,
14954,6332,cylinder-bands,"Process delay data. Might require time splits or even group splits. Unclear what the exat measurements are and how they relate. Most likely this task is not representative anymore. Trees dominate on TabRepo - indicates that something is off. Maybe group leak, i.e. due to job_number? Or feature types may be defined wrongly; also has temporal connections",1995,,"Outdated, temporal",Tabular,random or grouped,Maybe,"Evans, B., and Fisher, D. (1994). Overcoming process delays with decision tree induction. IEEE Expert, Vol. 9, No. 1, 60--66.",10.24432/C50C7B,Conditional,There could be a leak or wrong feature type definitions,No,Smaller than 500 training samples with 3-fold CV,No,Tiny data,Supervised Classification,active,10-fold Crossvalidation,,band_type,312.0,71.0,228.0,2.0,40.0,540.0,263.0,999.0,18.0,22.0,,,,,,,,
14963,1459,artificial-characters,TabRed found unresolvable leaks,1992,,"Leak, artifical",Artificial,grouped,No,10.24432/C5303Z,10.24432/C5303Z,No,Leak,No,Leak,No,Image,Supervised Classification,active,10-fold Crossvalidation,,Class,1416.0,10.0,600.0,10.0,8.0,10218.0,0.0,0.0,7.0,1.0,,,,,,,,
14967,23380,cjs,"Several samples come from one tree/injection (see tree id), so likely grouped based splits needed and otherwise leakage, some samples are missing the group association ",1995,,Grouped data or Leak,Tabular,grouped,Maybe," Camacho, F. and Arron, G. (1995) Effects of the regulators paclobutrazol and flurprimidol on the growth of terminal sprouts formed on trimmed silver maple trees. Canadian Journal of Statistics 3(23).",?,No,"Not in TabRepo, so likely trivial",No,not random splits,No,Grouped Tabular,Supervised Classification,active,10-fold Crossvalidation,,TR,680.0,57.0,274.0,6.0,35.0,2796.0,2795.0,68100.0,32.0,3.0,,,,,,,,
14970,1478,har,Human activity recognition - outdated,2012/2013,,time series data,time-series,temporal or grouped,No,"Davide Anguita, Alessandro Ghio, Luca Oneto, Xavier Parra and Jorge L. Reyes-Ortiz. A Public Domain Dataset for Human Activity Recognition Using Smartphones. 21th European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning, ESANN 2013. Bruges, Belgium 24-26 April 2013.",10.24432/C54S4K,No,time-series,No,non iid task,No,Time-series,Supervised Classification,active,10-fold Crossvalidation,,Class,1944.0,6.0,1406.0,6.0,562.0,10299.0,0.0,0.0,561.0,1.0,,,,,,,,
125920,23381,dresses-sales,"Only 500 instances; Corresponds to a relevant task, but recommendation data used in production is typically much more complex; not a recommender system as no users - only item specific predictions",2014,,Trivial,Tabular with text features,random,Yes,10.24432/C56W3V or https://www.researchgate.net/publication/293464737_main_steps_for_doing_data_mining_project_using_weka according to OpenML as they used it first?,10.24432/C56W3V,Yes,Passess all criteria,Yes,No objection,No,Tiny data,Supervised Classification,active,10-fold Crossvalidation,,Class,290.0,24.0,210.0,2.0,13.0,500.0,401.0,835.0,1.0,12.0,,,,,,,,
125921,40496,LED-display-domain-7digit,Dataset created by Breiman Optimal Bayes rate: 26%; data have random 10% nosiy by inverting them,1988,,Artificial,Artificial,random,No,"KEEL, UCI - 10.24432/C5FG61","KEEL, UCI - 10.24432/C5FG61",No,Artificial,No,no real distribution,No,Deterministic,Supervised Classification,active,10-fold Crossvalidation,,Class,57.0,10.0,37.0,10.0,8.0,500.0,0.0,0.0,7.0,1.0,,,,,,,,
125922,40499,texture,"40 attributes built by the estimation of fourth order modified moments in four orientations: 0, 45, 90 and 135 degrees.",1993,,"Image domain, preprocessing",Image,random,No,ELENA Project https://www.elen.ucl.ac.be/neural-nets/Research/Projects/ELENA/databases/REAL/texture/,ELENA Project https://www.elen.ucl.ac.be/neural-nets/Research/Projects/ELENA/databases/REAL/texture/ (dead URL),No,Image,No,Image,No,Image,Supervised Classification,active,10-fold Crossvalidation,,Class,500.0,11.0,500.0,11.0,41.0,5500.0,0.0,0.0,40.0,1.0,,,,,,,,
125968,40536,SpeedDating,"Data was collected in multiple waves with a predefined study design influencing the target. Likely this is rather an interpretability task. If not accounting for the special data collection process, tree-based models are superior to other approaches; some questionable preprocssed features (""samerace""); ""met"" feature has time realtionship due to multiple waves ",2004,,"Potential time relationships, not predictive task",Tabular,random or grouped,Maybe,"Raymond Fisman; Sheena S. Iyengar; Emir Kamenica; Itamar Simonson.
Gender Differences in Mate Selection: Evidence From a Speed Dating Experiment.
The Quarterly Journal of Economics, Volume 121, Issue 2, 1 May 2006, Pages 673–697,
https://doi.org/10.1162/qjec.2006.121.2.673",Columbia Business School  -> https://sites.stat.columbia.edu/gelman/arm/examples/speed.dating/  -> https://statmodeling.stat.columbia.edu/2008/01/21/the_speeddating_1/ -> ?,Conditional,Would need to define how to deal with the clustered data structure,Conditional,After preprocessing and removing some ethical concering features,No,Scientific Discovery,Supervised Classification,active,10-fold Crossvalidation,,match,6998.0,,1380.0,2.0,121.0,8378.0,7330.0,18372.0,59.0,62.0,,"[[0,1],[50,0]]",,,,,,
146800,40966,MiceProtein,"Data clustered by 77 proteins and 72 mice. Each protein contains 1080 measurements which are recommended to be seen as separate mice. Therefore a group based split based on proteins makes sense. Unsure whether predictive performance is the goal or rather interpretation. Also unsure whether the 8 classes are given should also be used as they are for classification, might also be framed as a multi-task problem.",2015,,"Leak without group splits, not a predictive tabular task",Tabular,grouped,Maybe,"Higuera C, Gardiner KJ, Cios KJ (2015) Self-Organizing Feature Maps Identify Proteins Critical to Learning in a Mouse Model of Down Syndrome. PLoS ONE 10(6): e0129126.",10.24432/C50S3Z,No,grouped split (but better should be verified empirically),No,Grouped split and likely not a predictive task but scientific discovery ,No,Grouped Tabular,Supervised Classification,active,10-fold Crossvalidation,,class,150.0,8.0,105.0,8.0,82.0,1080.0,528.0,1396.0,77.0,5.0,,,,,,,,
146802,40971,collins,"Genre prediction for texts, contains features that make up the target",2003,,Text domain,Text,random or grouped,No,"jeff Collins Variations in Written English: Characterizing Authors' Rhetorical Language Choices Across Corpora of Published Texts"" / ? ","The source of the corpora was the ICAME CD-ROM (get info at <http>)."", https://lib.stat.cmu.edu/datasets/collins.txt",No,Text,No,Text,No,Text,Supervised Classification,active,10-fold Crossvalidation,,Corp.Genre,80.0,30.0,6.0,30.0,24.0,1000.0,0.0,0.0,20.0,4.0,,,,,,,,
146818,40981,Australian,"Preprocessed version of the credit-approval dataset, should rather use the ""rawer"" version. Nowadays much more extensive data is used for credit loan approval",1987,,"Outdated, duplicated",Tabular,random,Maybe,10.24432/C59012,https://archive.ics.uci.edu/dataset/143/statlog+australian+credit+approval anbd https://www.csie.ntu.edu.tw/~cjlin/libsvmtools/datasets/binary.html,Conditional,rather use the credit-approval version,Conditional,use this or credt-approval version,No,Duplicate,Supervised Classification,active,10-fold Crossvalidation,,A15,383.0,14.0,307.0,2.0,15.0,690.0,0.0,0.0,6.0,9.0,,,,,,,,
146819,40994,climate-model-simulation-crashes,Might require group split as data is from different studies,2013,,"Simulated (but might be alright), might be trivial ","Simulated, Tabular",Grouped,Maybe,"10.5194/gmdd-6-585-2013 Lucas, D. D., Klein, R., Tannahill, J., Ivanova, D., Brandon, S., Domyancic, D., and Zhang, Y.: Failure analysis of parameter-induced simulation crashes in climate models, Geosci. Model Dev. Discuss., 6, 585-623, Web Link, 2013.",10.24432/C5HG71,Conditional,Need to investigate how to treat the group structure,No,requires group-based splits,No,Artificial/Simulated,Supervised Classification,active,10-fold Crossvalidation,,outcome,494.0,2.0,46.0,2.0,21.0,540.0,0.0,0.0,20.0,1.0,,,,,,,,
146820,40983,wilt,Features extracted from image segments (remote sensory imaging),2013,,Image domain,Image,grouped or random,No,10.24432/C5KS4M,10.24432/C5KS4M,No,Image,No,Image,No,Image,Supervised Classification,active,10-fold Crossvalidation,,class,4578.0,2.0,261.0,2.0,6.0,4839.0,0.0,0.0,5.0,1.0,,,,,,,,
146823,40985,tamilnadu-electricity,"Unclear what the task is. Likely time series classification. If all samples are independent, then it would be tabular load prediction. UCI title says ""hourly"" readings so it is reasonable to assume it is time-series",2013,,"time series data, unclear infomration",time-series,temporal,Maybe,10.24432/C5KP4K,10.24432/C5KP4K,No,time-series,No,time-series,No,Time-series,Supervised Classification,active,10-fold Crossvalidation,,Class,2906.0,20.0,1397.0,20.0,4.0,45781.0,0.0,0.0,2.0,2.0,,,,,,,,
167120,23517,numerai28.6,"I heard there are many people interested in this dataset. Also, I think there are newer more extensive versions available. However stock market predictions might also be seen as time-series; 
We have roughly 1k unique values per ""numeric"" attribute across the 100k samples. Some weird preprocessing or lag-based behavior might have happened here",2017,,time series ,time-series,"unlcear, but likely temporal",Maybe,https://www.kaggle.com/datasets/numerai/encrypted-stock-market-data-from-numerai,https://www.kaggle.com/datasets/numerai/encrypted-stock-market-data-from-numerai,No,time-series,No,time-series,No,Time-series,Supervised Classification,active,10-fold Crossvalidation,,attribute_21,48658.0,2.0,47662.0,2.0,22.0,96320.0,0.0,0.0,21.0,1.0,,,,,,,,
167121,40923,Devnagari-Script,Recognize 46 Characters from an indian language,2015,,Image domain,Image,random or grouped,No,"Acharya S., Pant A.K., Gyawali P.K.,”Deep Learning based large scale handwritten Devanagari Character Recognition” Proceeding of 9th International Conference on Software, Knowledge, Information Management & Applications",https://www.kaggle.com/datasets/rishianand/devanagari-character-set and https://web.archive.org/web/20160105230017/http://cvresearchnepal.com/wordpress/dhcd/,No,Image,No,Image,No,Image,Supervised Classification,active,10-fold Crossvalidation,,character,2000.0,46.0,2000.0,46.0,1025.0,92000.0,0.0,0.0,1024.0,1.0,,,,,,,,
167124,40927,CIFAR_10,"32*32*3 images, CIFAR",2009,,Image domain,Image,random,No,"Learning Multiple Layers of Features from Tiny Images, Alex Krizhevsky, 2009.",https://www.cs.toronto.edu/~kriz/cifar.html,No,Image,No,Image,No,Image,Supervised Classification,active,10-fold Crossvalidation,,class,6000.0,10.0,6000.0,10.0,3073.0,60000.0,0.0,0.0,3072.0,1.0,,,,,,,,
167210,41021,Moneyball,"Baseball dataset that estimates the runs scored. Might be relevant task. Might require temporal split, but need to understand the task better. In general this is clearly not a predictive performance task but an analytics task. Linear model best in TabRepo. Could include to also cover this bias",2000,,no predictive task,Tabular,?,Maybe,?,"Kaggle (https://www.kaggle.com/datasets/wduckett/moneyball-mlb-stats-19622012/data), originally from The Analytics Edge course on EdX (https://www.edx.org/learn/analytics/massachusetts-institute-of-technology-the-analytics-edge). Data collected from baseball-reference.com",Conditional,"Fits criteria, but generally is not a dataset that should be part of a benchmark aiming to maximize predictive performance. However, we dont currently have a criterion for that",No,not a predictive task,No,Scientific Discovery,Supervised Regression,active,10-fold Crossvalidation,root_mean_squared_error,RS,,39.0,,0.0,15.0,1232.0,1118.0,3600.0,9.0,6.0,,,,,,,,
168298,41082,USPS,Handwritten digits.,1990,,Image domain,Image,?,No,?, http://www-stat.stanford.edu/~tibs/ElemStatLearn/data.html.,No,Image,No,Image,No,Image,Supervised Classification,active,10-fold Crossvalidation,,int0,1553.0,10.0,708.0,10.0,257.0,9298.0,0.0,0.0,256.0,1.0,,,,,,,,
168300,41084,UMIST_Faces_Cropped,"Grayscale faces 8 bit [0-255], a few images (views) of 20 different people",1998,,Image domain,Image,grouped,No,"Characterizing Virtual Eigensignatures for General Purpose Face Recognition, Daniel B Graham and Nigel M Allinson. In Face Recognition: From Theory to Applications ; NATO ASI Series F, Computer and Systems Sciences, Vol. 163; H. Wechsler, P. J. Phillips, V. Bruce, F. Fogelman-Soulie and T. S. Huang (eds), pp 446-456, 1998.",? https://www.sheffield.ac.uk/eee/research/iel/research/face (deadlink),No,Image,No,Image,No,Image,Supervised Classification,active,10-fold Crossvalidation,,class,48.0,20.0,19.0,20.0,10305.0,575.0,0.0,0.0,10304.0,1.0,,,,,,,,
168350,1489,phoneme,"Extracted from audio: amplitudes of the five first harmonics AHi, normalised by the total energy Ene. Likely requires group split as different speakers",1993,,Audio domain,Audio,?,No,?,"KEEL, ELENA",No,Audio,No,Audio,No,Audio,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,Class,3818.0,2.0,1586.0,2.0,6.0,5404.0,0.0,0.0,5.0,1.0,,,,,,,,
